id,ccn,incident_date_time,time_spread,org_id,org_name,tipsoft_id,incident_type_id,incident_type_name,incident_type_pinnable,lng,lat,public_narrative,processing_level,address,description,agency_page_link
213983558,"13-349668","2013-08-05T22:15:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.82266799999999,43.036458,"PETIT LARCENY",3,"3000 Block NIAGARA FALLS BLVD","1892",
213984307,"13-349595","2013-08-05T12:00:00Z",0,11841,"Amherst Police Department",0,100,"-BURGLARY 2ND",true,-78.718721,43.017625,"BURGLARY 2ND",3,"1 Block BLUE HERON CT","1892",
224138681,"13-352346","2013-08-05T12:00:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.73694399999999,43.025241,"PETIT LARCENY",3,"1500 Block DODGE RD","1892",
214860573,"13-349672","2013-08-05T23:13:15Z",0,11841,"Amherst Police Department",0,100,"-CRIMINAL TRESPASS 2ND",true,-78.803488,42.972744,"CRIMINAL TRESPASS 2ND",3,"300 Block N WESTFIELD RD","1892",
213983808,"13-349608","2013-08-05T17:36:06Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.82039399999999,42.98403,"PETIT LARCENY",3,"3000 Block SHERIDAN DR","1892",
213983560,"13-349491","2013-08-05T09:50:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.81176499999999,42.981991,"PETIT LARCENY",3,"3200 Block SHERIDAN DR","1892",
213983561,"13-349535","2013-08-05T14:01:37Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.81176499999999,42.981991,"PETIT LARCENY",3,"3200 Block SHERIDAN DR","1892",
213983807,"13-349653","2013-08-05T22:10:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.81176499999999,42.981991,"PETIT LARCENY",3,"3200 Block SHERIDAN DR","1892",
213984057,"13-349583","2013-08-05T15:00:00Z",0,11841,"Amherst Police Department",0,103,"-GRAND LARCENY 4TH",true,-78.822182,42.999523,"GRAND LARCENY 4TH",3,"1500 Block NIAGARA FALLS BLVD","1892",
213983559,"13-349542","2013-08-05T14:32:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.696956,42.992327,"PETIT LARCENY",3,"8200 Block TRANSIT RD","1892",
